,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,playlist_name
77,Abhi The Nomad,Marbled,Mindset,6aAC8I2DqcTUsdaKqkCx6h,0.786,0.528,8,-6.467,0,0.117,8.92e-06,0.172,0.842,136.037,236740,4,30.0,Blue
78,Abhi The Nomad,Marbled,Letter for God,4cVJtU3eCwRgoKT4MYnBG9,0.861,0.65,4,-4.935,0,0.0483,0.000771,0.0562,0.525,120.009,273500,4,42.0,Blue
79,Abhi The Nomad,Marbled,Spacecraft,3f4IpVpRtA6wzlpyZ5kDSj,0.768,0.297,0,-10.384,1,0.0984,9.32e-05,0.249,0.357,99.87,175750,4,30.0,Blue
80,Abhi The Nomad,Marbled,So Long,1E8t8Gtb6BQfMMpEgVNyIh,0.899,0.573,9,-5.47,1,0.0556,4.67e-06,0.0854,0.826,120.006,211000,4,44.0,Blue
81,Abhi The Nomad,Marbled,Somebody to Love,3pdHWxpeFJqai3skQcRr41,0.827,0.525,6,-5.823,0,0.0309,0.00674,0.107,0.883,119.985,250000,4,52.0,Blue
82,Abhi The Nomad,Marbled,Headcase,1caLffCBOYy7xJFvt8LBkm,0.746,0.836,0,-5.178,0,0.0455,2.11e-05,0.184,0.651,126.966,264750,4,31.0,Blue
83,Abhi The Nomad,Marbled,Planes,7efL8Jm6ZJFfJNAANmRVwj,0.783,0.765,9,-4.589,0,0.419,0.0,0.344,0.705,96.032,253500,4,30.0,Blue
84,Abhi The Nomad,Marbled,Pressure,1q2OIZRPuwPFrJzaPgXUKL,0.636,0.74,5,-4.889,1,0.35,0.0,0.236,0.431,78.575,239250,4,28.0,Blue
85,Abhi The Nomad,Where Are My Friends?,Download God,3IkIMuBw9aN3txtFajfNpx,0.589,0.651,11,-6.218,0,0.0656,0.0,0.129,0.4,106.048,268242,4,0.0,Blue
86,Tom Petty and the Heartbreakers,Anthology: Through The Years,Mary Jane's Last Dance,5eYwDBLucWfWI5KsV7oYX2,0.402,0.814,10,-4.954,1,0.14,1.19e-06,0.266,0.516,170.02,272267,4,0.0,Blue
87,Mac Miller,Buttons,Buttons,0ZBchpb4CLk5Qqu3895Etp,0.578,0.714,7,-4.853,1,0.19,0.0,0.277,0.524,75.064,228440,4,60.0,Blue
